French,Fon
développer,ɖì bè - dlε̆n - tún - vlɔ̆n - vlɔ̆n kàn
Ils doivent se marier dans deux mois.,Ye ɖona wli alɔ ɖo sun we mε
Il a des jambes maigrichonnes.,E ɖó getɛ́ cáywé
Puis-je manger de la viande qui reste ?,Má ɖu lan e kpo ɔ a ?
Souffle sur le feu.,Dŏ funfún myɔ ɔ́
L’oiseau a battu des ailes de façon désordonnée et est mort.,Xɛ ɔ́ xò awà vazavaza bo kú
J’ai reconnu tous mes péchés.,Un yí hwɛ ce lɛ́ bĭ gbè
Kofi n'a rien entendu.,Kofi se nuti ă
se regarder dans la glace,kpɔ́n nùkpέn
Ne t’occupe plus de cette affaire.,Đe ta sín xó élɔ́ mɛ̀
"Trois jours après, quand il voulut la ramasser, il fut mordu à la main droite par un gros termite rouge.","Azan atɔngɔ gbe ɖe e jlo na bε ɔ, hannuhannu vɔvɔ han ɖu i ɖo alɔ ɖisi"
L’une d'elles est actrice .,Mε ɖokpo nyi 'atrice' ɖo ye mε
Le tonnerre gronde.,Jĭ ɖò gbe dó wɛ̀
Combien vaut le maïs ?,Nabí wɛ́ nyí gbadé ɔ́ ?
Mais dis-lui donc !,Đɔ̀ n’í ó !
"Certains moutons ont des cornes, d'autres n'en ont pas.","Gbɔ ɖe lɛ nɔ ɖo azo, ɖe lɛ nɔ ɖo a"
J’ai oublié.,Un wɔ̀n nŭ
On va vous punir tous les deux,E na dɔn to nu mi mε we lε
Kofi n'est allé nulle part.,Kofi yi fiɖe ă
On les coupe .,Mi ɖo ye sεn wε
Ceux qui étaient ouvriers.,Ye ɖee nyi azɔwatɔ lɛ ɖayi
Je n’ai trouvé le fond de l’affaire.,Un ba do kpo ná
jusqu'à la fin,káká sɔ́ yì - káká yì
C'est mon frère aîné.,Fofó cé wɛ̀
Il n’y a rien à ajouter.,Xó ɖè sɔ́ kpò ă
Je vais me déchausser.,Un ná ɖè afɔkpa cè
On sautait de joie .,Mi nɔ ɖo lilɔn wε kpodo awajijε kpo
"Je ne vais pas regarder le match, j'ai du travail.","Un jan kpɔn bolu a, un ɖo azɔ"
"Sois heureux, nous sommes en route pour Cotonou !","Jε awa, mi ɖo Kutɔnu sin ali ji"
relever,fɔ́n xwè tè - sɔ́ sí tè - sɛ̀ dŏ agà - sɛ̀ xwè tè
Le temps est comment à Porto-Novo ?,Hwenu ɖe tɛ mi ɖe ɖo Xogbonu ?
Salut (merci) pour la route,Ku d'ali
Ne te fâche pas.,Ma sin xomɛ o
être vaste,dŏ agbà
La branche d’arbre s’est cassée.,Atín fɛ́n alà
Ce n'est pas bon pour la personne.,E nyɔ́ nú mɛ ă
Vous devez obéir à la loi.,Mi ɖo na si sɛn ɔ
A ce moment,Hwenu nu mε ɔ
Je vais traverser ton champ.,Un ná xo gle towe zlɛ́
Il est honnête.,Ayi tɔn ɖo wɛ̀n
Ce n’est pas beaucoup.,É má sukpɔ́ nɛ́
Le lapin creuse un terrier ,Azwui ɔ ɖo kun wε.
N'oublie pas !,Ma wɔn o !
Ils s'entendent bien.,Yè nɔ̀ ɖó gbe kpɔ́
Une nuit glaciale.,Zan fífa
Va te mettre à sa place.,Yi nɔ̀ do tɔn mɛ̀
personne consacrée à sakpata,anagó - sakpatasì - azɔnsì
Je cueille des fleurs.,Un ɖo folo ba wε
"Alors, j'allais à pied.",Un ɖo yiyi wɛ kpodo afɔ kpo ɖayi
Je l’ai vu au loin.,Un mɔ ɛ̀ sɛ́ dó
Les autres tribus les craignent.,Agun ɖe lε nɔ ɖi xεsi nu ye
Les oiseaux bâtissent leur nid sous le toit.,Xɛvi lɛ ɖo adɔ yetɔn gba wɛ ɖo aza ɔ gwlɛ
Sépare le bon grain du mauvais.,Đè nùkún ɖagbe ɖó vo nú nyanya ɔ́
"Non, je ne veux pas aller chez lui.","Eo, un jlo na yi gɔn tɔn ă"
interrompre quelqu’un,tὲ àfɔ̀ ɖε̆ jĭ - yĭ xó ɖò nu nú mɛ
Beaucoup de mes habits sont sales et je veux les laver.,Awu ce gègé ɖé lɛ́ kwíjì bɔ̀ un jló ná nyà
J'ai l'impression qu'elle n'est pas contente.,Un ɖi e kun ɖo awajijε mε e gbε o
"Mais, moi, je vous dis.","Loɔ́, nyɛ lɔ́, má ɖɔ́ nú mi"
être détraqué,flí ta - flí tamὲ
Ils se rassemblent pour parler en cachette.,Yè nɔ́ kplé yèɖéé bó nɔ́ ɖɔ xó xísíxísí
boutonner,dŏ gbŏ
Il est venu me surprendre.,E wá fyán mì
Ils s'entendent bien.,Gbè yètɔ́n ɖò kpɔ́
Je trouve que c'est plus amusant,Un mɔ ɖɔ ayihun nu wε.
Il a décoré l’église.,E và yɛhwexɔmɛ̀
Comment t’appelles-tu ?,Nɛ̆ nyì tówé nyí ?
"Ce n'est pas lourd, c'est léger.","E kpɛn ă, e fuɖa"
Cette affaire me paraît compliquée.,Xó ɔ́ hízí dó mì
Mouille un timbre et colle-le sur l’enveloppe.,Đ’átán dó tɛ́mblu ɖé bó sɔ́ ɛ́ ɖó wèmá ɔ́ jí
Ce chemin est excessivement tortueux,Ali nɛ ɔ gɛdɛ din
Un paquet ?,Gba ɖokpo à ?
Tout est important pour toi.,A ɖò sɛ́ngɛ́n jí
Les élèves regardent leur maître et l’écoutent ,Azɔmεvi lε ɖo mεsi ye tɔn kpɔn wε bo ɖo to ɖo e wε.
Je viendrai te reprendre à trois heures.,Un na lɛ́ wá sɔ́ wé ɖò gan'tɔn mɛ̀
"Je vais manger des pâtes, des pâtes rouges, du riz, des haricots et je vais boire un peu d’eau.","Un na ɖu wɔ, kpo wɔ vɔvɔ, kpo mɔlinkun, kpo abɔbɔ, kpo na nu sin kpεɖe"
"Ces papayers, ils ont été semés.","Kpɛntín énɛ́ lɛ́, nùdùdó wɛ̀"
Tu veux vraiment savoir comment je cuis mes délicieux gâteaux ?,A jlo na nugbo na tuwun ɖe un nɔ ɖa ata ce ɖagbeɖagbe lɛ gbɔn à ?
Le marché est animé.,Axi ɔ́ jɛ̀
Polir,Hεn ɖiɖi
Pour que l'argent ne manque pas à sa femme.,Nu akwɛ ma han asi tɔn o
Je n'ai plus d'honneur.,Un sɔ́ ɖó wì ɖé ă
Je pèse seulement soixante quinze kilogrammes.,Kilo kanɖe gban nukun atɔɔn jɛn un nɔ da
Le temps est beau.,Gbɛmɛ nyɔ́
"  Donc, elles sont déjà grandes","Donk, ye ko su"
Je vais finir par me fâcher.,Un na wá sin xomɛ̀
Notre mère est venue.,Nɔ̀ mìtɔ́n wá
On ne doit pas tuer.,E ɖó ná hu mɛ ă
Il entra seul en classe.,E byɔ azɔmɛ eyɛ ɖokponɔ
Est-ce que ta santé est bonne ? ,Lanmε towe ɖo ganji a ?
Monsieur Simpson sort avec Mademoiselle Ferguson.,Simpson nɔ tɔn kpodo Ferguson kpo
Petit travail par-ci par-là.,Un ɖò flúflú wɛ̀ xwé yí gbè
Il hurle.,E ɖ'axó dó wɛ̀
Grâce à toi.,Ɖo hwe wutu ɔ
Kofi a travaillé plus que Sagbo.,Kofi w'azɔ hu Sagbo
Elle a des seins naissants.,E tɔ́n anɔ̆
être vide,dŏ tófwé - vɔ̆ - gblŏlŏ
Je vais aller chercher des brindilles (Expression employée par les jumeaux ou leur mère pour éviter de dire,Un na cyán nùyɔ́ywɛ́
Cet enfant insulte trop les gens.,Vì élɔ́ nɔ́ zun mɛ ɖáɖá
Cet enfant est poli.,Nyaví élɔ́ nɔ́ sí mɛ
Je suis inquiet.,Un vo ɖo ayi mε a
Il est petit.,E hwè
Comment as-tu brûlé lé cabri et il reste des poils dessus,Nɛ a mɛ gbɔ gbɔn bɔ fun kpo d'e wu
Le maïs a bien produit.,Agbadé ɔ́ hwán ganjí
Déchirer les vêtements.,Vun awu lɛ
Ils m’aiment.,Ye yi wan nu mi
L'enfant s'écria.,Vi ɔ su xo
Si le gombo se gonfle de graines c'est qu'il reste sous les feuilles.,Fevi na hlɔn ɔ ama glɔ wɛ e nɔ nɔ.
Mais Kofi n'est pas parti,Kofi ma yi nε
se changer en vaudoun,zùn vodún
Il a rabaissé mon honneur.,É kɔ́n wi ce kpò
Tu avances vers le premier carrefour,A jɛ alikpletɛn nukɔntɔn ɔ
Qu’est-ce que kofi est en train de boire ? ,Etε nu wε Kofi ɖe ?
"Après s’être rencontrés en grand groupe, il est bon de se retrouver en petit cercle.","E xá gblagada ɔ́, e nɔ lɛ xá klóbótwe"
Comment veux-tu appeler ton enfant ?,Nɛ̆ a jlo na ylɔ́ vì tówé ɔ̀
Il a fait un faux jugement.,É dó hwɛ agɔ̀
"Je le suis, moi qui te parle.",Nyɛ mɛ e nyí mɔ é ɖíé ɖò xó ɖɔ nú wé wɛ̀ è
Je suis allé remettre quelque chose à mon grand frère.,Un zé nuɖé yí jó nú fofó cè
Le temps des semailles.,Nù dò hwénú
Avant que je parle fon.,Co bɔ na si ɖɔ fongbe kaka
Il est chez un patron.,É ɖò mɛ kannu
Ma mère m’a dit qu’elle viendra demain.,Nɔ ce ɖɔ emi na wa sɔ
remarquer quelque chose ou quelqu'un,ɖŏ nukún jĭ
L’oiseau siffle dans l’arbre.,Xεvi ɖɔ kun kwin ɖo atin ɔ mε
Cette robe est jolie ,Rɔbu enε ɔ nɔ nyɔ ɖεkpε.
Trois minces femmes et deux gros hommes.,Nyɔnu fɛɖɛfɛɖɛ atɔn kpodo sunnu kloklo we
J'avais déjà pensé ainsi.,Un ko lin ɖɔ̀ mɔ̆
"Tu resteras sans manger, sans boire et sans parler jusqu’après-demain.","A ná gbɔ̀ nù ɖú, bó gbɔ̀ sin nù, bó gbɔ̀ xó ɖɔ̀ káká yi azăn tɔn gbè"
Il s’est promené à travers le village.,E ɖi sa gbɔ̀n toxo ɔ́ mɛ̀
"Que tu le veuilles ou non, nous ferons comme ça.",A jlo kpó a ma jló ɔ́ mɔ̀ jɛ́n mì nà bló
"b'ɛ na jɛ hun do nu tɔn ji ɖo nujinjanlinu wɛ à, wemawlan wlan sin alinu wɛ à, alo alɔlyɛn zɔwiwa sin alinu","Nu e na tɔn sin nu e mɛɖe gba tamɛ bo blo é ɔ, mɛ ɔ tɔn wɛ e ɖo na nyi"
Et nous apprenons nos leçons.,Bo mi nɔ kplɔn nu ganji
Il est fort.,Wú tɔ́n syɛ́n
"Et j'ai dit OK, je vais venir, je vais essayer pour venir, et je suis parti vraiment.","Bɔ un ɖɔ, e nyɔ, ɖe na wa, na tɛnkpɔn bo na wa, bɔ un wa yi nugbo"
As-tu vu en combien d’endroits je suis allé avant de revenir ?,A ma mɔ̀ fí do è un yi jɛ̀ có bó lɛ́ kɔ é à ?
Pourquoi vous êtes-vous disputés ?,Etɛ wutu mi ɖɔ jlɛ ?
Les petits ânes bougent leurs oreilles.,Sɔ kpɛvi lɛ nɔ dan to yetɔn
C'est son enfant.,Vi tɔn wɛ
dire des sottises,ɖɔ̀ gbòló - ɖɔ̀ lὲló
Ce buisson l'a protégée de la pluie ,Atingbomε enε ɔ hwlεn do ji sin.
Forge-moi ce coupe-coupe.,Tɛ́n gyankpa élɔ́ nú mì
Le sel fait leurs délices ,Nu vivi wε jε nyi nu ye.
Il est venu la nuit me voir en secret.,E dɔ̀n zàn dó wŭ bó wá gɔ̆n cè
bosse,gŏ - kpó
Sa toux s’est un peu calmée.,Kpɛ́n tɔ́n hwíhwɛ́ n’í kpɛɖé
Il a grandi énormément.,É sù gajaà
"Lorsqu'il eut fini de parler, il sortit.",Ee é ɖɔ̀ xó vɔ́ ɔ́ é tɔ́n
"  Et ils m'ont dit qu'ils sont à l'hôpital, en maternité",Bɔ ye ɖɔ jre ke emi ɖo dotoxwe bo ɖo maternite
aplatir les cheveux,tέ ɖà
Grand-père se repose dans son fauteuil.,Daagbo ɖo gbigbɔ jɛ wɛ ɖo azinkpo tɔn mɛ
Je ne suis pas resté longtemps à Cotonou.,Un nɔ Kutɔnu gege a
Il a étiré la corde.,E dɛn kàn
Pourquoi m’interroges-tu sur ce qui est bon ?,Đ’áni wú a kàn nù é nyɔ́ ɔ́ byɔ́ mì ?
La journée passe lentement,Hwenu nɔ din dεdε
Il a fait griller de la viande.,E mɛ làn
Ça ne va pas mal.,Un ɖò kɛ́ɖɛ́
Mais le feu.,Amɔ zo
Salut pour le travail.,Kú cɛ́
Je l'ai fait pareil.,Un blo mɔ ɖɔhun
Il est dans la misère.,É ɖò gbɛ̀dómɛ
Un serpent m’a piqué.,Dan sɔ́ nú mì
C’est insuffisant.,E hwè
D’où es-tu ?,Fítɛ́nu wɛ a nyí ?
Je vous ai défendu de faire cela.,Un kɔ́ ɖɔ̀ mi ma bló nù élɔ́ ó
Elle est plus vieille que Kofi.,E kpo hu Kofi
As-tu payé les arachides ?,A ko sú aziín ɔ́'xɔ́ à ?
Le crois-tu ?,A ɖì mɔ̆ à ?
Le fil est trop fin.,Kan ɔ wíní dín
"As-tu déjà eu satisfaction ? - Non, je suis encore ici à attendre.","É kó kpá wé à ? - Éŏ, un kpo ɖo fí, ɖo cɔ́kɔ́tɔ́denu"
Il a dit qu'il viendra,E ɖɔ emi na wa
Et nous pourrons discuter,Bo mi na ɖɔ xo kpεɖe.
Es-tu prêt ?,E sɔ gbe nú wé à ?
Je l’ai rencontré au rond-point.,Un kpé è ɖò tobotobojí
Il est sur le toit de sa case.,É ɖò xɔ tɔn ta
Je suis à bout de patience.,Sɔxwixwe gló mì
Je pense qu'il y aura beaucoup de monde sur la plage le dimanche.,Un ɖi ɖɔ gbɛtɔ na su kpɔ ɖo xuta vodungbe
Vous pouvez répéter ?,Mi sixu lɛ ɖɔ a ?
Celui qui est bien habillé a l'habitude de faire l'important.,Mɛ e b'acɔ́ ɔ́ nɔ́ t'afɔ ayĭ
Mon oncle maternel,Nɔcenɔví súnù
Quelqu’un viendra après moi.,Nya ɖé ná wá jɛ̀ gùdó cè
Tu dis des paroles oiseuses.,Glŏ ɖɔ a ɖé
habitant d'une autre localité,toɖémεnì - toɖĕvomεnì
J'ai envie de changer,E jlo mi nu ma ɖyɔ.
Voudriez-vous me verser un peu d'eau froide dans mon café ?,Mi sixu kɔn sin fifa kpɛɖe do kafe ce mɛ a ?
Et il est au bord du lac,Bo ka ɖo tɔ to
Que Dieu nous garde cette nuit !,Măwŭ ní fɔ́n mĭ
La charge écrase son corps,Agban nɔ hεn agbaza tɔn gba.
"Et celui qui avait été mort sortit, les pieds et les mains attachés par des bandes, et le visage enveloppé d’un linge.","Mɛ e ko kú ɔ́ tɔ́n, afɔ kpó alɔ kpó ɖò blàblà ɖ’adɔkánmɛ̀ bɔ̀ adɔvɔ ɔ́ ɖò nukún mɛ́ n’í"
"  si tu veux te promener,","nu e jrɔ bɔ a na ɖi sa ɔ,"
Ils ont fini de manger.,Yè kó ɖù làn ɔ́ bó kɔ̀n xú
Arrête le moteur du vélomoteur.,Xò zò cí nú zokɛkɛ́ ɔ́
On l'a nommé chef.,E sɔ́ gan ɛ̀
Enferme ce pagne dans ta malle.,Sú avɔ élɔ́ dó gbà tówé mɛ̀
Il y en a beaucoup.,E tíin sù kpɔ́
Cet enfant est-il malade pour avoir cet air morbide ?,Azɔn jɛ nyaví ɛ́ ká ɖè bó dó cí kuncɛɛ̀n mɔ̆ à ?
Le feu a brûlé ma plantation de café et tout est devenu une brousse desséchée.,Zo ɖu kafɛ́ gbó cé bɔ̀ bì húzú zun yajaa ɖo tè
tenir à l'écart,sɔ́ ɖŏ vò
D'où reviens-tu ?,Fí tɛ́ gó sín wɛ́ a ɖè ?
Que vous cessiez ce travail !,Mi nu mi blo azɔ ɖe
Cela ne suffit pas.,Enέ ɔ́ kέɖέ kpé ă
manquer le travail,gɔ̀n azɔ̆mὲ
C'est la seule chose qu’elles savent leur faire,Nu ɖokpo ɖe ye tuun bɔ nɔ wa n’ɛ sin.
C'est un bon chien.,Cuku dagbe wɛ
faire des grumeaux,zùn gŏ - zùn kwín
ouvrir largement la bouche,hùn nu jεὲ
Cela me tient à coeur.,É hɛ̀n hŭn nú mì
Il est parmi nous.,E ɖò mĭ mɛ̀
"Merci, tu réussiras, cela te réussira",E na nyɔ nu we.
brouette,azɔ̀kὲkὲ - kεkέ
Il m’a accusé de complicité dans le vol.,E xa mi ɖ’ajo mɛ̀
dans l'angle intérieur,zwe mɛ̀
Il est bon pour moi.,É nyɔ́ nú mì
II aime bien les gens,E nɔ yi wan nu gbɛtɔ ganjii
Pourquoi ne partez-vous pas ?,Nu tɛ wutu mi ma ɖo yiyi wɛ a ?
"Avant d'être jardinier, il a été professeur pendant dix ans.","Co e na nyi jikpamɛnɔtɔ ɔ, e ko nyi mɛsi nu xwe wo"
C'est très bon.,E víví tawùn
Ce tambour résonne bien,Hun elɔ nɔ ɖi gbe ganji
Il travaille à Bohicon.,É nɔ́ w’àzɔ̌ ɖò Gbɔ̀xíkɔ̀n
Kofi n'a rien entendu,Kofi se nuɖe a
Je cueille des fleurs.,Un ɖo folo ba wɛ
"Puisque tu es là maintenant, nous allons travailler.","Ðó lĕ a ko ɖò fí din e ɔ́, mì ná w'àzɔ̆"
Le lion de mon frère passe ses vacances dans un zoo ,Nɔvi ce sin kinikini nɔ ɖu gbɔjε tɔn ɖo fiɖe e nɔ nyi kanlin lε ɖe ɔ.
Nous nous réveillerons.,Mì nà fɔ́n
Ça brûle fort.,E ji zo yaà
La voiture s'est arrêtée au bord de la route.,Hùn ɔ́ nɔ te ɖò agbăsa ɔ́ kpá
"Si le gong kpanlingán du roi se met à retentir, tout le pays se rassemble.","Dadá sín kpanlingán jɛ gbè lé ɔ́, to bì wɛ́ nɔ́ kplé"
dire la prière de supplication appelée bolu,nyì bɔlŭ
Voilà l’autre.,Mɛ ɖè ɔ̀ nɛ́
cheveux ébouriffés,ɖà kεyεὲ
Il est chauve.,E mɔ́ ta
Bénis-le.,Xò ɖɛ̀ d’é jí
"Elle a un joli cou ""Son cou fait des plis""",Kɔ tɔn gbo ala
Il l’a fait volontairement.,É bló ɖó jlò tɔ́n wú
Il est mort.,Sɛ́ ɖó zan n’í
descendre,jὲ tè - wă dò - yì dò
Je m’appelle Jean.,Un nɔ nyi Jan
Je continue mon chemin,Un na lε jε ji ali ce.
Pour que sa femme ait de l'argent,Bo nu asi tɔn na mɔ kwε.
Nous sommes venus mais sans résultat.,Mì wá flú
Ne mange pas,Ma ɖu nu o
Ma mère soigne les enfants .,Nɔ ce nɔ gbɔ azɔn nu vi lε
Il a pris une certaine quantité de haricots.,É wún ayikún
"Les médecins, les guérisseurs ne sont-ils pas les vainqueurs de la mort ?","Dotó lɛ́, azɔngblénúmɛtɔ́ lɛ́ mɔ́ nɔ́ ɖù ɖò kú jí à cé ?"
"La fois d'après, nous nous sommes perdus","Hwedevonu, mi nyi bubu to."
dentiste,aɖùɖènúmεtɔ́ - aɖùɖètɔ́ - aɖùkpɔ́ntɔ́ - aɖùsúntɔ́ - aɖùzɔ̀wátɔ́
Respire régulièrement.,Yĭ agbɔ̆n hăbŭ
Il a mangé une chose interdite.,E ɖù nù vɛ́ mɛ
As-tu sucré ?,A dó súklé mέ à ?
Il est trop chaud.,E ɖo zozo ji
Il est fort.,Xú tɔ́n syɛ́n
Ma femme est devenue enceinte dans ce mois.,Kɛ́n jɛ̀ asi ce wú sun yɛ mɛ̀
Il ne dérange guère ses camarades.,E nɔ do tagba nu xɔntɔn tɔn lɛ a
De quel côté s'est-il enfui ?,Akpa tɛ xwe e hɔn jɛ gbe do ?
Ils ont beaucoup d'argent.,Bo ɖo kwɛ yetɔn ganji.
Roy a-t-il une grosse voix ?,Roy si gbe klo wε a ?
"Un homme pète devant Ahwlikponuwa et regarde derrière. - Ce que tu devais faire au début, voilà que tu le fais à la fin !","bo kpɔn gudo. - Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo a ɖe nɛ. "
Donne-moi ce livre.,Bo ná mì wèmá ɛ́
Karen n'est pas là aujourd'hui.,Karen ɖo fi egbe a
insensé,ayimaɖotenánɔ̀ - ayimaɖòxòmὲnánɔ̀ - gɔgúnɔ̀ - nùwánùmɔ̀nɔ́ - xlŏnɔ̀
Quel genre de travail faites-vous ? ,Azɔ ɖetε mi nɔ wa ?
J’ai sommeil ,Amlɔ ɖo sisa mi wε.
Le mois avant.,Sun ɖe wa yi ɔ
Tu peux sauver ton peuple.,A hεn ɔ a na hwlεn togun towe gan
Est-ce un garçon ?,Súnnú wɛ́ à ?
N'abîmez pas le vélo !,Mi ma hεn kεkε ɔ gble o.
Je vais dans mon champ.,Un xwè gle ce mɛ̀
Il est allé chercher du bois pour que sa mère prépare à manger.,É yì nakí bá gbé nú nɔ tɔn na dó ɖà nù ɔ̀ ná
Le démon m'a tenté.,Awòví tɛ́n mí kpɔ́n
J'ai des allumettes,Un ɖo fɔfi
"Dès que le soleil se couche, les poules s’endorment : ","Nu hwezivɔ yi xɔ ɔ, koklo lε nɔ d'amlɔ."
Tu es en train de dire la parole des ancêtres.,Kpɔlíkpɔlí tówé xó ɖɔ̀ a ɖè
Ils se sont dispersés.,Yè kíjá
Nous traversons la route en courant,Mi ɖo ali d'asa wε kpodo wezun kpo.
Il nous bénit alors et mourut l'âme en paix,E xo ɖε nu mi enε ɔ gudo ɔ lobɔ ku ayixa mε vɔ.
Salut (merci) pour l'argent,Ku d'akwε
Remonte la mèche de la lampe.,Nă kan nú myɔtágbɛ́n ɔ́
Et qu'est-ce que c'était ?,Bo nuɖe tε wε ?
Redouble d'effort pour le travail.,Văn kàn d'ázɔ̀ wú
Je rends hommage aux anciens.,Un j’ávalú nú mɛxó lɛ́
Je me lave chaque jour la tête et je peigne souvent mes cheveux.,Un nɔ lɛ wu zanzan tɛgbe bo un nɔ vun ɖa ce
Tu blagues.,Slàmɛ́ ɖɔ́ á ɖè
Comment vas-tu ?,Nɛ̆ a ɖe gbɔ̀n ?
"Il se tenait debout, la main appuyée sur une canne","E ɖo te, alɔ ɖo zεnzεn ɖo kpo ji"
Le cheval saute par-dessus les fossés ,Sɔ ɔ lɔn agbo aga nu ɖo lε.
bondir,lɔ̆n yì jĭ - zlɔ̆n
Tâche de le faire venir à la réunion.,Tɛ́n kpɔ́n bó dɔ́n ɛ́ wá kplé
Tu es indiscret.,A nyɔ xó hɛn xomɛ́ ă
Le professeur les a instruits et pourtant ils ont échoué,Mɛsi kplɔn nu ye cobɔ ye ɖu afɔku
Il est allé au ciel.,E yì Măwù gɔ́n
C’est mon jour de repos.,Gbɔjɛ’zán gbé cé wɛ̀
Je n’ai pas le temps.,Un nɔ mɔ vuvò ă
Je vais bien.,Lanmɛ ce fɔ́n ganjí
Ils ont fait du tapage pour rien.,Yĕ jɛ̀ tagba glŏlŏ
Ton fils guérira.,Azɔ̀n ná gbɔ nú vì tówè
Le serpent a fait une longue trace et est passé.,Dàn ɔ̀ bló duwùn bó dín
Où puis-je trouver les livres ?,Fitɛ un si mɔ wema xixa ɖe ?
Quel projet as-tu fait ?,Wè tɛ́ a ɖè ?
Il a insisté pour que nous dînions avec eux.,E ta akiti nu mi ni ɖu nu x'e
Maman a acheté du coton.,Mama xɔ avɔkanfun
Il est sauvé (de la maladie).,E gán
Elle a baigné l’enfant.,É lɛ̀ wù nú vì ɔ́
Que tout aille bien !,Đagbe jɛ́n ná nyí !
Jean est content car ses yeux brillent,E vivi nu Jan ɖo nukun tɔn lε nɔ kεn.
Il n’écoute rien de ce que l’on dit.,Tókúkú ahɔn nyinyɔ ɔ́ wɛ̀
Merci pour votre dévouement.,Kú dó mɛkanxixò
Il n’est pas normal.,Tamɛ tɔn sɔgbè ă
Boisson d’acceptation,Gbeyiyi ahan
Jusqu'à la fin.,Káká sɔ́ yì
C’est direct.,E jlɔ́
Tu es un vaurien.,A jɔ̀ nùvɔ́nɔ̀
Je n’ai pas où recevoir.,Un ɖó gɔ̀n ɖé ă
Il y a longtemps qu'ils ont recommencé ?,Yè bɛ̀ ɔ́ é lín à ?
parier avec quelqu'un,gbò sú xá mε
Il a fait des éclairs.,Jì kɛ́ wùn
Une parfaite journée pour la promenade.,Azan ɖagbe nu saɖiɖi
Elle a baissé le prix.,É ɖe axi kpo dɔɔ̀
"Kofi est venu, mais nous ne l'avons pas vu : ",Kofi wa cobɔ mi mɔ ε ă.
Voilà ce qu’a fait un tel ici.,Nŭ è keté lè wá ɖo tomɛ fí énɛ́
Le centre de toute bonté et de toute joie est l'amour.,Cica mɛ ɖagbe tɔn kpodo awajijɛ tɔn kpo ɔ wanyinyi wɛ
Il vend un peu de tout au marché.,E nɔ́ sà nù tété ɖ’axi mɛ̀
Quelle faute as-tu commise !,Aní ɖíe a dó sín è !
fâcher,gblĕ xomɛ̀
incompréhensible,agε̆ - bùbú - gε̆ - gεdεdὲ - gὲdὲgέdέ - gεdεὲ
Que ton souhait pour moi se réalise.,E ní cɛ́ nú mì
briller en tirant sur le rouge,kɔ́n nyεε
"Chaque jour, je dis  : ",fais un effort. Cela me fait du bien.
On a fermé le chemin.,E su alì
Quel fruit as-tu mangé aujourd’hui ?,Atinsinsεn tε a ɖu egbe ?
Tous leurs cheveux,Đa yetɔn lε bi
Ils sont en train de célébrer la fête.,Yĕ ɖò xwe ɖu wɛ̀
Elle est à la maison.,E ɖo xwe gbe
A ta santé !,Nu ganjininɔ towe !
J'ai habité au Canada et aux États-Unis avant de venir en Irlande ,Un nɔ Canada kpodo Etats-Unis kpo co bo wa Irlande.
Je lance une pierre.,Un ɖo hwan ɖokpo nyi wɛ
Tes parents s'aiment-ils ?,Mɛ towe lɛ ɔ ye ka yi wan nu yeɖee a ?
aimer manger,lὲ jὲ
C'est moi qui changerai les gens.,Nyi wɛ na ɖyɔ mɛ ɖe lɛ
"Si mon mari conduit, c’est que ce n’est pas loin : ","Nu asu ce kun hun ɔ, hun e lin a nε."
Je me trouve sous la dépendance de quelqu’un.,Un ɖò mɛ’sí
se reposer,gbɔjέ - ml'áyĭ - mlɔ̆ ayĭ
Pourquoi êtes-vous venus ?,Ɖ’ani wutu mi wa ?
Je ne me rappelle plus ton nom.,Un wɔ̀n nyì tówè
J'ai fini de manger.,Un ko ɖù nŭ vɔ̀
faire noir,zăn dŏ ablù
Je tiens cela de lui.,E wɛ̀ ɖɔ̀ mɔ̀ nú mì
"Non seulement il ne travaille pas, mais encore il vole.",Azɔ̀ kɛ́ɖɛ́ w'ɛ́ nɔ́ gɔ̀n wiwa ă é nɔ́ lɛ́ j'ajò
Il devient grand.,É ɖò avɔ sɔ́ wɛ̀
C'est un obstiné.,E nɔ́ xwè nù bó nɔ́ lɛ́ kɔ̀ ă
Pour que j'ai plus d'esprit que toutes les autres bêtes de la brousse.,Bo nu ma ɖu ɖo kanlin gbɛmɛ tɔn lɛ bi ji
Il veut la chose à tout prix.,Nù ɔ́ gbo vɛ̆ ɛ̀
As-tu acheté un peu ?,A xɔ nu kpɛɖe à ?
Je suis venu pour travailler.,Un wá jà azɔ̀ wà gbé
Son commerce lui réussit bien.,Ajɔ̀ tɔ́n kpé n’í
Je me repens.,Hwɛ ce vɛ́ nú mì
Il fallait me le dire !,A na o ɖɔ nu mi !
Que veux-tu acheter ?,Etɛ xɔ gbe a ja ?
Il a secoué la tête.,E xúxú ta
Que s’est-il passé le soir du premier jour de la semaine ?,Ani wɛ jɛ ɖò gbe nɛ́ ɔ́ gbè gbadanu ?
C’est l’hiver.,Ji hwenu wɛ
Kofi est maître du cours élémentaire.,Kofi mɛsi wemaxɔmɛ ayijɛ tɔn mɛ
Qu’est-ce que c’est donc ?,Ani ká nyí mɔ̆ ?
Les ouvriers du patron.,Azɔwatɔ gan tɔn lɛ
Voici la fin de son travail.,Fúfó azɔ̀ ɔ̀ tɔ́n ɖíè
Ajoute un verre.,Sɔ́ kɔ́fu gɔ́ ná
griot,hansinɔ̀ - mεmlátɔ́
